sequence;timestamp;end timestamp;ask On Hit;Yaw;Pitch;Size;mcq Id
1;8;37;True;281;10;0,0619;2
1;43;72;True;280;15;0,024;3
3;50;63;True;202,8698;0,5948054;0,065;7
4;11;24;True;284;11;0,054;8
5;0;16;True;266;28;0,04;11
